date;id_station;id_network;type;latitude;longitude;altitude;area_adm_1;area_adm_2;name;value;value_max
29/12/16 12:00;DEZ2659;Eurdep;air;53.82;11.95;;Germany;RÜHN;RÜHN;7.723;7.84
29/12/16 12:00;DEZ2661;Eurdep;air;53.56;11.27;;Germany;WALSMÜHLEN;WALSMÜHLEN;7.617;7.86
29/12/16 12:00;DEZ2663;Eurdep;air;53.44;11.49;;Germany;FAHRBINDE;FAHRBINDE;6.172;6.32
29/12/16 12:00;DEZ2664;Eurdep;air;53.17;11.29;;Germany;NEU KALIß;NEU KALIß;6.274;6.45
29/12/16 12:00;DEZ2665;Eurdep;air;53.43;10.93;;Germany;RODENWALDE;RODENWALDE;7.043;7.24
29/12/16 12:00;DEZ2666;Eurdep;air;53.16;11.54;;Germany;STEESOW;STEESOW;6.238;6.43
29/12/16 12:00;DEZ2669;Eurdep;air;53.46;13.58;;Germany;WOLDEGK;WOLDEGK;9.124;9.37
29/12/16 12:00;DEZ2676;Eurdep;air;54.28;12.31;;Germany;DIERHAGEN;DIERHAGEN;5.488;5.67
29/12/16 12:00;DEZ2678;Eurdep;air;54.15;12.43;;Germany;GRESENHORST;GRESENHORST;7.67;8.03
29/12/16 12:00;DEZ2680;Eurdep;air;54.0;11.44;;Germany;KIRCHDORF / POEL;KIRCHDORF / POEL;8.102;8.29
29/12/16 12:00;DEZ2681;Eurdep;air;54.3;12.73;;Germany;LÖBNITZ;LÖBNITZ;6.493;6.69
29/12/16 12:00;DEZ2682;Eurdep;air;54.21;12.82;;Germany;MILLIENHAGEN;MILLIENHAGEN;7.743;7.86
29/12/16 12:00;DEZ2683;Eurdep;air;54.2;13.19;;Germany;REINKENHAGEN;REINKENHAGEN;7.621;7.75
29/12/16 12:00;DEZ2684;Eurdep;air;54.05;13.12;;Germany;POGGENDORF;POGGENDORF;8.087;8.38
29/12/16 12:00;DEZ2687;Eurdep;air;53.76;10.93;;Germany;CARLOW;CARLOW;7.414;7.57
29/12/16 12:00;DEZ2688;Eurdep;air;53.91;11.27;;Germany;GROß WALMSTORF;GROß WALMSTORF;7.431;7.71
